,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes
56586,DAVIDSON,2014-11-04,72,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,103,49,0,0,152
56587,DAVIDSON,2014-11-04,36,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,238,85,0,0,323
56588,DAVIDSON,2014-11-04,80A,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,185,120,0,0,305
56589,DAVIDSON,2014-11-04,6,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,175,49,0,0,224
56590,DAVIDSON,2014-11-04,30,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,423,242,0,0,665
56591,DAVIDSON,2014-11-04,10,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,0,6,0,0,6
56593,DAVIDSON,2014-11-04,70,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,112,62,0,0,174
56594,DAVIDSON,2014-11-04,38,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,199,107,0,0,306
56595,DAVIDSON,2014-11-04,32,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,162,75,0,0,237
56597,DAVIDSON,2014-11-04,22,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,57,31,0,0,88
56598,DAVIDSON,2014-11-04,64,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,294,141,0,0,435
56600,DAVIDSON,2014-11-04,28,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,170,85,0,0,255
56601,DAVIDSON,2014-11-04,62,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Alma Adams,DEM,1,216,122,0,0,338
56604,DAVIDSON,2014-11-04,10,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,12,4,0,0,16
56605,DAVIDSON,2014-11-04,6,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,530,142,0,0,672
56606,DAVIDSON,2014-11-04,62,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,94,48,0,0,142
56608,DAVIDSON,2014-11-04,28,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,499,166,0,0,665
56609,DAVIDSON,2014-11-04,72,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,601,270,0,0,871
56610,DAVIDSON,2014-11-04,80A,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,1071,504,0,0,1575
56611,DAVIDSON,2014-11-04,36,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,146,41,0,0,187
56613,DAVIDSON,2014-11-04,70,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,515,221,0,0,736
56615,DAVIDSON,2014-11-04,32,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,125,48,0,0,173
56616,DAVIDSON,2014-11-04,38,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,48,15,0,0,63
56617,DAVIDSON,2014-11-04,64,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,68,37,0,0,105
56618,DAVIDSON,2014-11-04,22,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,179,64,0,0,243
56619,DAVIDSON,2014-11-04,30,1164,S,US HOUSE OF REPRESENTATIVES DISTRICT 12,Vince Coakley,REP,1,53,42,0,0,95
57585,DAVIDSON,2014-11-04,6,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,158,46,0,0,204
57587,DAVIDSON,2014-11-04,10,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,0,6,0,0,6
57588,DAVIDSON,2014-11-04,30,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,411,242,0,0,653
57589,DAVIDSON,2014-11-04,22,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,54,29,0,0,83
57590,DAVIDSON,2014-11-04,64,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,295,135,0,0,430
57591,DAVIDSON,2014-11-04,70,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,106,66,0,0,172
57592,DAVIDSON,2014-11-04,32,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,161,71,0,0,232
57593,DAVIDSON,2014-11-04,38,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,197,110,0,0,307
57596,DAVIDSON,2014-11-04,62,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,217,111,0,0,328
57597,DAVIDSON,2014-11-04,28,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,168,83,0,0,251
57598,DAVIDSON,2014-11-04,72,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,103,49,0,0,152
57600,DAVIDSON,2014-11-04,80A,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,176,123,0,0,299
57601,DAVIDSON,2014-11-04,36,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Alma Adams,DEM,1,232,79,0,0,311
57602,DAVIDSON,2014-11-04,22,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Vince Coakley,REP,1,172,63,0,0,235
57603,DAVIDSON,2014-11-04,64,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Vince Coakley,REP,1,69,35,0,0,104
57604,DAVIDSON,2014-11-04,6,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Vince Coakley,REP,1,528,145,0,0,673
57605,DAVIDSON,2014-11-04,30,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Vince Coakley,REP,1,57,43,0,0,100
57607,DAVIDSON,2014-11-04,10,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Vince Coakley,REP,1,12,4,0,0,16
57608,DAVIDSON,2014-11-04,72,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Vince Coakley,REP,1,591,263,0,0,854
57609,DAVIDSON,2014-11-04,36,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Vince Coakley,REP,1,144,42,0,0,186
57611,DAVIDSON,2014-11-04,28,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Vince Coakley,REP,1,480,164,0,0,644
57612,DAVIDSON,2014-11-04,80A,1369,S,US HOUSE OF REPRESENTATIVES DISTRICT 12 (UNEXPIRED TERM),Vince Coakley,REP,1,1061,495,0,0,1556
